caseid,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,party,visits_adult,visits_nonadult,visits,prop_adult_visits,rep,duration_adult,duration_nonadult,duration,prop_adult_duration,yes_visit_adults,race2,cohort,age,age2,educ2
278767453,1975,1,1,2,1,2,6,36,1,D,59.0,995.0,1054.0,5.597722960151803,0.0,294.0,20894.0,21188.0,1.387577874268454,1.0,1,1980,48,2304,2
278817169,1972,1,1,5,1,1,1,6,4,D,810.0,24182.0,24992.0,3.2410371318822024,0.0,41436.0,714129.0,755565.0,5.484107919239245,1.0,1,1970,51,2601,4
278820081,2003,1,4,1,5,3,-1,37,3,D,0.0,3034.0,3034.0,0.0,0.0,0.0,468374.0,468374.0,0.0,0.0,4,2000,20,400,1
278937725,1982,1,1,2,2,7,2,49,4,R,111.0,2201.0,2312.0,4.801038062283737,1.0,7426.0,62083.0,69509.0,10.683508610395776,1.0,1,1980,41,1681,2
278981289,1991,2,1,2,1,1,1,40,3,D,,,,,0.0,,,,,,1,1990,32,1024,2
279024221,1950,1,2,3,5,4,6,13,3,I,0.0,2211.0,2211.0,0.0,,0.0,144179.0,144179.0,0.0,0.0,2,1950,73,5329,3
279035065,1985,1,1,2,4,4,6,36,1,I,0.0,1132.0,1132.0,0.0,,0.0,50310.0,50310.0,0.0,0.0,1,1980,38,1444,2
279035465,1990,1,1,5,2,7,2,42,1,R,2.0,12160.0,12162.0,0.0164446637066272,1.0,2.0,510246.0,510248.0,0.0003919662595443784,1.0,1,1990,33,1089,4
279040893,1978,2,7,5,1,2,1,1,3,D,,,,,0.0,,,,,,5,1980,45,2025,4
279325689,1997,2,4,3,3,3,1,6,4,D,75.0,4545.0,4620.0,1.6233766233766231,0.0,6240.0,142707.0,148947.0,4.189409655783601,1.0,4,2000,26,676,3
279381233,2003,2,1,1,3,3,-1,1,3,D,0.0,322.0,322.0,0.0,0.0,0.0,14504.0,14504.0,0.0,0.0,1,2000,20,400,1
279716617,1963,1,6,3,2,7,2,40,3,R,0.0,7665.0,7665.0,0.0,1.0,0.0,179870.0,179870.0,0.0,0.0,5,1960,60,3600,3
279868049,1988,2,1,5,3,3,6,34,1,D,0.0,158.0,158.0,0.0,0.0,0.0,15492.0,15492.0,0.0,0.0,1,1990,35,1225,4
280121033,1962,2,1,3,3,5,2,17,2,R,0.0,553.0,553.0,0.0,1.0,0.0,29988.0,29988.0,0.0,0.0,1,1960,61,3721,3
280243629,2000,1,3,2,3,3,1,48,3,D,3.0,344.0,347.0,0.8645533141210375,0.0,8.0,17686.0,17694.0,0.04521306657624054,1.0,3,2000,23,529,2
280288625,1981,1,1,3,3,4,1,53,4,I,68.0,13202.0,13270.0,0.5124340617935192,,838.0,230458.0,231296.0,0.3623063087991145,1.0,1,1980,42,1764,3
280307769,1991,2,3,6,2,6,2,34,1,R,0.0,2842.0,2842.0,0.0,1.0,0.0,232709.0,232709.0,0.0,0.0,3,1990,32,1024,4
280496045,1994,2,1,6,1,1,1,55,2,D,,,,,0.0,,,,,,1,1990,29,841,4
280526813,1973,2,5,5,3,4,-1,47,3,I,64.0,77.0,141.0,45.39007092198582,,7518.0,2714.0,10232.0,73.47537138389366,1.0,5,1970,50,2500,4
280588877,2002,1,1,3,4,3,1,13,3,D,0.0,385.0,385.0,0.0,0.0,0.0,6833.0,6833.0,0.0,0.0,1,2000,21,441,3
280608941,1971,2,3,4,3,5,6,35,4,R,12.0,1419.0,1431.0,0.8385744234800839,1.0,1024.0,113873.0,114897.0,0.8912330173981914,1.0,3,1970,52,2704,4
280701001,1974,1,2,2,3,8,6,36,1,,46.0,455.0,501.0,9.181636726546905,,6012.0,51623.0,57635.0,10.431161620543072,1.0,2,1970,49,2401,2
281086073,1996,2,1,1,5,4,6,37,3,I,,,,,,,,,,,1,2000,27,729,1
281147237,1995,2,1,2,3,3,2,47,3,D,0.0,4286.0,4286.0,0.0,0.0,0.0,172999.0,172999.0,0.0,0.0,1,2000,28,784,2
281397553,2000,1,3,1,3,4,6,48,3,I,0.0,2408.0,2408.0,0.0,,0.0,180469.0,180469.0,0.0,0.0,3,2000,23,529,1
281470521,1994,2,1,3,3,3,1,4,4,D,0.0,381.0,381.0,0.0,0.0,0.0,41281.0,41281.0,0.0,0.0,1,1990,29,841,3
281477021,1991,1,3,5,-1,-1,-1,9,1,,0.0,86804.0,86804.0,0.0,,0.0,941756.0,941756.0,0.0,0.0,3,1990,32,1024,4
281487169,1991,2,1,3,5,8,6,49,4,,0.0,876.0,876.0,0.0,,0.0,49864.0,49864.0,0.0,0.0,1,1990,32,1024,3
281550521,1993,2,1,1,1,2,6,1,3,D,0.0,679.0,679.0,0.0,0.0,0.0,38378.0,38378.0,0.0,0.0,1,1990,30,900,1
281775669,1980,1,8,5,1,1,1,29,2,D,934.0,1603.0,2537.0,36.815135987386675,0.0,58314.0,158201.0,216515.0,26.93300695101956,1.0,5,1980,43,1849,4
281889137,1960,2,2,6,1,1,1,48,3,D,0.0,15482.0,15482.0,0.0,0.0,0.0,223009.0,223009.0,0.0,0.0,2,1960,63,3969,4
281933793,1990,2,1,2,3,4,6,22,3,I,0.0,321.0,321.0,0.0,,0.0,40536.0,40536.0,0.0,0.0,1,1990,33,1089,2
282040489,2000,1,2,2,3,8,1,34,1,,27.0,529.0,556.0,4.856115107913669,,2186.0,36852.0,39038.0,5.5996721143501205,1.0,2,2000,23,529,2
282337233,1955,2,1,2,1,1,1,36,1,D,,,,,0.0,,,,,,1,1960,68,4624,2
282465705,1976,2,1,6,1,1,1,51,3,D,0.0,1623.0,1623.0,0.0,0.0,0.0,131680.0,131680.0,0.0,0.0,1,1980,47,2209,4
282523825,1982,1,1,2,3,4,1,45,3,I,8.0,2284.0,2292.0,0.34904013961605584,,44.0,86566.0,86610.0,0.050802447754300886,1.0,1,1980,41,1681,2
282642433,1959,2,1,4,1,1,1,37,3,D,0.0,70.0,70.0,0.0,0.0,0.0,1694.0,1694.0,0.0,0.0,1,1960,64,4096,4
283239057,1988,2,2,2,3,4,6,8,4,I,0.0,996.0,996.0,0.0,,0.0,32571.0,32571.0,0.0,0.0,2,1990,35,1225,2
283328041,1998,2,3,5,1,2,1,12,3,D,0.0,4181.0,4181.0,0.0,0.0,0.0,173718.0,173718.0,0.0,0.0,3,2000,25,625,4
283432969,1991,2,1,5,1,1,1,25,1,D,0.0,620.0,620.0,0.0,0.0,0.0,30586.0,30586.0,0.0,0.0,1,1990,32,1024,4
283523233,1973,1,1,5,4,3,6,17,2,D,12.0,11668.0,11680.0,0.10273972602739725,0.0,294.0,800597.0,800891.0,0.036709115222920474,1.0,1,1970,50,2500,4
283807589,1970,2,1,4,1,2,1,4,4,D,0.0,989.0,989.0,0.0,0.0,0.0,355485.0,355485.0,0.0,0.0,1,1970,53,2809,4
283951,1959,2,2,5,4,4,1,48,3,I,0.0,808.0,808.0,0.0,,0.0,15181.0,15181.0,0.0,0.0,2,1960,64,4096,4
284208225,1968,2,2,6,1,2,1,13,3,D,0.0,44106.0,44106.0,0.0,0.0,0.0,412824.0,412824.0,0.0,0.0,2,1970,55,3025,4
284215401,1997,1,1,3,3,3,2,26,2,D,0.0,849.0,849.0,0.0,0.0,0.0,28215.0,28215.0,0.0,0.0,1,2000,26,676,3
2843303,1958,1,4,6,5,3,-1,49,4,D,0.0,4849.0,4849.0,0.0,0.0,0.0,103626.0,103626.0,0.0,0.0,4,1960,65,4225,4
