unique_url,url_class
mata-model.net,Potential Criminal Activities
ultimatetvguide.com,Pornography
photoshopuser.com,Business
purachina.net,Humor/Comics
powerandstrength.com,Sports
northeast.com,Business
instantmembership.com,Pornography
sahajayoga.org,Education/Reference
carterandholmes.com,Marketing/Merchandising
kimwilde.com,Entertainment
starhubshop.com.sg,Online Shopping
ssscents.com,Fashion/Beauty
betterfuturetoday.com,Parked Domain
cbrstereo.com,Online Shopping
srpfcu.org,Finance/Banking
flagstaffpubliclibrary.org,Education/Reference
pocket850.com,UNKNOWN
hackweb.nl,Software/Hardware
martina-mcbride.com,Entertainment
whitecube.com,Art/Culture/Heritage
shemalesmovie.com,Pornography
bread-bakers.com,Recreation/Hobbies
gospel-music.de,Entertainment
kb2ah.com,Pornography
joiseymaxx.com,Blogs/Wiki
entertainment-books.net,Online Shopping
universalattractions.com,Entertainment
unclejerrystees.com,Online Shopping
horsebackridingstables.com,Recreation/Hobbies
172.187.138.46,UNKNOWN
mfso.org,Politics/Opinion
abrock.com,Religion/Ideologies
myfreewallpapers.com,Shareware/Freeware
nz-health.net.nz,Nudity
visitors4u.com,Parked Domain
phonemacro.com,Internet Services
aconexus.com,UNKNOWN
microforte.com,UNKNOWN
smutaholic.com,Pornography
lunar-net.com,Entertainment
dodge-engines.com,Motor Vehicles
nickyhard.com,Pornography
simpsonscollectors.com,Online Shopping
cam-mafia.com,Forum/Bulletin Boards
fmametalfab.org,Non-Profit/Advocacy/NGO
njac.net,Sports
golfhandicapcalculator.com,Sports
68.13.154.191,UNKNOWN
questing-ranger.com,Games
searchfordinero.com,UNKNOWN
vtwinsupply.com,UNKNOWN
guiamiguelin.com,Entertainment
fhm.ro,Entertainment
worldoncam.net,Pornography
128.12.67.84,UNKNOWN
flyingbeachboat.com,Sports
slotfinder.com,Finance/Banking
flaglerhospital.com,Health
brewtech.org,Education/Reference
homilia.org,Religion/Ideologies
online-spy-equipment.net,UNKNOWN
baxtersbabes.com,Pornography
66.130.169.50,UNKNOWN
juanmelendez.com,Real Estate
aku-aku.com,Art/Culture/Heritage
4dave.com,Entertainment
wildapache.net,Portal Sites
reviewnow.com,Business
freevoyeurwebs.com,Pornography
yourgrass.com,Marketing/Merchandising
ebusiness-apps.com,Software/Hardware
idealprescriptions.com,Health
softcatala.org,Internet Services
patpal.com,Finance/Banking
exitcoin.com,Pornography
maryjane.ru,Art/Culture/Heritage
rachelyoung.com,Pornography
kenzousa.com,Fashion/Beauty
chat-4-free.info,UNKNOWN
kimtownsend.com,Marketing/Merchandising
1st-gangbangsquad.com,Pornography
taxhavenco.com,Finance/Banking
prudentialgardner.com,Real Estate
definitivetech.com,Marketing/Merchandising
familytorn.net,UNKNOWN
arcazia.net,UNKNOWN
pendragonexpress.com,Online Shopping
cranenetwork.com,Business
carnivalofcash.com,Blogs/Wiki
e-timetolaughalways.com,UNKNOWN
hawthornesuites.com,Travel
ringtones.to,UNKNOWN
24.194.20.228,UNKNOWN
warlordsmovies.net,Pornography
xezol.com,Games
etstan.com,Health
healthplanofnevada.com,Business
libertyfitness.com,Sports
dailysexy.com,Pornography
witseducation.com,Education/Reference
icrserv.com,UNKNOWN
vanguard.org,Education/Reference
siemensenterprise.com,Business
cambellskitchen.com,UNKNOWN
linkpartners.com,Business
doe-md.gov,Government/Military
rel.net,Software/Hardware
dvsexy.com,Pornography
66.250.57.9,UNKNOWN
american-outdoors.com,Internet Services
valvesoftware.com,Software/Hardware
fetishworldsex.com,Pornography
choicedm.com,Online Shopping
yetis-paidmail.de,UNKNOWN
eidosinteractive.co.uk,Games
fivestarmktg.com,Online Shopping
enchantedrealms.com,Business
silviasaintprivate.com,Pornography
atdiabetes.com,Health
mammoth-hosting.com,UNKNOWN
perfectboobs.com,Pornography
generationspress.com,Entertainment
picpost-megasite.com,Pornography
llnwd.net,Internet Services
nmallstars.com,Entertainment
carmaster.com.mx,Sports
timemailerz.com,UNKNOWN
affiliatecounselor.com,UNKNOWN
gra2.com,Forum/Bulletin Boards
britney-spears-sex.com,Pornography
bigheadshop.com,Pornography
sexfink.com,Pornography
serceevideo.tv,UNKNOWN
ame-today.com,Religion/Ideologies
67.161.15.179,UNKNOWN
eternaljewels.com,Online Shopping
poll.com,Malicious Sites
hpv.org,Non-Profit/Advocacy/NGO
glenbeck.com,Portal Sites
usfunds.com,Finance/Banking
accessdubuquejobs.com,Job Search
affordablehearing.com,Health
internetresults.com,Business
pocahontas.org,Public Information
bikinifantasies.com,Pornography
crycrycryformeargent.com,UNKNOWN
paxryu.com,UNKNOWN
mega-oem.info,UNKNOWN
ffmall.com,Nudity
nofx.com,Forum/Bulletin Boards
abugbusterscorp.com,Parked Domain
goldenwestradio.ca,Internet Services
flooringinstaller.com,Real Estate
paidfromsurveys.com,Blogs/Wiki
ecmwf.int,Business
jlo.com,Parked Domain
frankfurt.de,Portal Sites
tu.edu,Education/Reference
hubcom.com,Business
dirty-dating.co.uk,Parked Domain
thesitewars.com,Public Information
2capstone.com,Finance/Banking
red.com,Marketing/Merchandising
barbie-griffin.net,Pornography
eboard.ru,Marketing/Merchandising
stonebrothersracing.com.au,Sports
sew-sales.com,Online Shopping
one18th.com,Marketing/Merchandising
firstauction.com,Auctions/Classifieds
barandbasement.com,Marketing/Merchandising
sublette.com,Recreation/Hobbies
bonjourparis.com,Travel
sixtiesrock.com,Entertainment
naked-preteen.com,Pornography
heartsandminds.org,Health
ams.org,Business
regalcars.com,Motor Vehicles
monti.net,Parked Domain
txtnow.com,Web Ads
matureamateurs.com,Pornography
gaypornlottery.com,Pornography
aboutshemale.com,Pornography
hotel-booker.com,Travel
ebooksites.org,Health
elysaria.com,UNKNOWN
meltonsales.com,Online Shopping
televen.com,Entertainment
brideway.net,Fashion/Beauty
